microhabitat,site,replica,station,germ,pri18,ver18,oto18,pri19,oto19,pri20,oto20,survival
wet meadow,N,1,B11,ng,0,0,0,0,0,0,0,0
wet meadow,N,1,B110,pri18,3,3,3,3,3,3,3,0
wet meadow,N,1,B12,pri18,5,5,5,5,5,5,5,0
wet meadow,N,1,B13,ver18,0,5,5,5,5,5,5,0
wet meadow,N,1,B14,out,NA,NA,NA,NA,NA,NA,NA,NA
wet meadow,N,1,B15,pri18,4,4,4,4,4,4,4,0
wet meadow,N,1,B16,pri18,3,3,3,3,3,3,3,0
wet meadow,N,1,B17,oto18,0,0,2,2,2,2,2,0
wet meadow,N,1,B18,pri18,3,3,3,3,3,4,4,0
wet meadow,N,1,B19,out,NA,NA,NA,NA,NA,NA,NA,NA
wet meadow,N,2,B21,pri18,2,2,2,2,2,2,2,0
wet meadow,N,2,B210,ng,0,0,0,0,0,0,0,0
wet meadow,N,2,B22,ng,0,0,0,0,0,0,0,0
wet meadow,N,2,B23,pri18,1,1,1,2,2,2,2,0
wet meadow,N,2,B24,ng,0,0,0,0,0,0,0,0
wet meadow,N,2,B25,ng,0,0,0,0,0,0,0,0
wet meadow,N,2,B26,pri19,0,0,0,1,1,1,1,0
wet meadow,N,2,B27,pri18,3,3,3,3,3,3,3,0
wet meadow,N,2,B28,pri18,2,2,2,2,2,2,2,0
wet meadow,N,2,B29,ng,0,0,0,0,0,0,0,0
wet meadow,N,3,B31,pri18,1,1,1,1,1,1,1,0
wet meadow,N,3,B310,ng,0,0,0,0,0,0,0,0
wet meadow,N,3,B32,pri18,1,1,1,1,1,1,1,0
wet meadow,N,3,B33,pri18,7,7,7,7,7,7,7,0
wet meadow,N,3,B34,pri18,1,1,1,1,1,1,1,0
wet meadow,N,3,B35,pri18,2,2,2,2,2,2,2,0
wet meadow,N,3,B36,pri18,1,1,1,1,1,1,1,0
wet meadow,N,3,B37,ng,0,0,0,0,0,0,0,0
wet meadow,N,3,B38,pri18,5,5,5,5,5,5,5,0
wet meadow,N,3,B39,pri18,4,4,4,4,4,4,4,0
wet meadow,S,4,B41,pri18,1,1,1,1,1,1,1,0
wet meadow,S,4,B410,pri18,3,5,6,6,6,6,6,0
wet meadow,S,4,B42,ng,0,0,0,0,0,0,0,0
wet meadow,S,4,B43,pri18,2,2,2,2,2,2,2,0
wet meadow,S,4,B44,pri18,3,3,3,3,3,3,3,0
wet meadow,S,4,B45,pri18,2,3,3,3,3,3,3,0
wet meadow,S,4,B46,pri18,3,3,3,3,3,3,3,0
wet meadow,S,4,B47,ng,0,0,0,0,0,0,0,0
wet meadow,S,4,B48,pri18,1,1,1,1,1,1,1,0
wet meadow,S,4,B49,ng,0,0,0,0,0,0,0,0
wet meadow,S,5,B51,pri18,1,1,2,2,2,2,2,0
wet meadow,S,5,B510,pri18,5,5,5,5,5,5,5,0
wet meadow,S,5,B52,ng,0,0,0,0,0,0,0,0
wet meadow,S,5,B53,ng,0,0,0,0,0,0,0,0
wet meadow,S,5,B54,pri18,1,1,1,1,1,1,1,0
wet meadow,S,5,B55,out,NA,NA,NA,NA,NA,NA,NA,NA
wet meadow,S,5,B56,ng,0,0,0,0,0,0,0,0
wet meadow,S,5,B57,ng,0,0,0,0,0,0,0,0
wet meadow,S,5,B58,out,NA,NA,NA,NA,NA,NA,NA,NA
wet meadow,S,5,B59,ng,0,0,0,0,0,0,0,0
juniper,N,1,E11,pri18,2,2,2,2,2,2,2,0
juniper,N,1,E110,pri18,5,5,5,5,5,5,5,0
juniper,N,1,E12,pri18,15,15,15,15,15,15,15,86.67
juniper,N,1,E13,pri18,7,7,7,7,10,10,10,0
juniper,N,1,E14,pri18,10,10,10,10,10,10,10,0
juniper,N,1,E15,pri18,5,5,5,5,5,5,5,0
juniper,N,1,E16,pri18,5,8,8,8,8,8,8,6.67
juniper,N,1,E17,pri18,8,8,8,8,8,8,8,0
juniper,N,1,E18,pri18,10,10,10,10,10,10,10,0
juniper,N,1,E19,pri18,3,3,3,3,3,3,3,0
juniper,N,2,E21,pri18,3,3,3,7,7,7,7,46.67
juniper,N,2,E210,pri18,3,4,4,12,12,12,12,13.33
juniper,N,2,E22,pri18,15,15,15,15,15,15,15,33.33
juniper,N,2,E23,pri18,5,5,5,5,5,5,5,6.67
juniper,N,2,E24,pri18,15,15,15,15,15,15,15,20
juniper,N,2,E25,pri18,12,12,12,12,12,12,12,0
juniper,N,2,E26,pri18,15,15,15,15,15,15,15,6.67
juniper,N,2,E27,ng,0,0,0,0,0,0,0,0
juniper,N,2,E28,pri18,12,12,12,12,12,12,12,13.33
juniper,N,2,E29,pri18,5,5,5,5,5,5,5,0
juniper,N,3,E31,pri18,1,1,1,1,1,1,1,0
juniper,N,3,E310,pri18,3,3,3,3,3,4,4,0
juniper,N,3,E32,pri18,2,5,5,5,5,5,5,20
juniper,N,3,E33,pri18,3,5,5,5,5,5,5,0
juniper,N,3,E34,pri18,2,2,2,3,3,5,5,0
juniper,N,3,E35,pri18,2,2,2,2,2,2,2,13.33
juniper,N,3,E36,pri18,1,1,1,1,1,1,1,0
juniper,N,3,E37,pri18,6,6,6,6,6,6,6,40
juniper,N,3,E38,pri18,5,5,5,5,5,5,5,6.67
juniper,N,3,E39,pri18,1,1,1,1,1,1,1,0
genista,N,1,G11,pri18,4,5,5,5,5,5,5,13.33
genista,N,1,G110,pri18,10,10,10,10,10,10,10,0
genista,N,1,G12,pri18,6,8,8,8,8,11,11,13.33
genista,N,1,G13,pri18,2,3,3,3,3,3,3,0
genista,N,1,G14,pri18,7,7,7,7,7,7,7,13.33
genista,N,1,G15,pri18,10,10,10,10,10,10,10,13.33
genista,N,1,G16,pri18,9,9,9,9,9,9,11,13.33
genista,N,1,G17,pri18,6,6,6,6,6,6,6,0
genista,N,1,G18,pri18,3,3,3,3,3,3,3,0
genista,N,1,G19,pri18,3,3,3,3,3,3,3,0
genista,N,2,G21,pri18,1,1,1,1,1,1,1,0
genista,N,2,G210,pri18,3,3,3,3,3,3,3,0
genista,N,2,G22,pri18,2,2,2,2,2,2,2,0
genista,N,2,G23,pri18,3,3,3,3,3,3,3,0
genista,N,2,G24,pri18,2,2,2,2,2,2,2,0
genista,N,2,G25,ng,0,0,0,0,0,0,0,0
genista,N,2,G26,pri18,7,7,7,7,7,7,7,0
genista,N,2,G27,pri18,4,4,4,4,4,4,4,0
genista,N,2,G28,pri18,3,3,3,3,3,3,3,0
genista,N,2,G29,pri18,5,5,5,5,5,5,5,0
genista,N,3,G31,pri18,4,4,4,4,4,4,4,0
genista,N,3,G310,pri18,4,6,6,6,6,6,6,0
genista,N,3,G32,pri18,5,5,5,5,5,5,5,0
genista,N,3,G33,pri18,2,2,2,2,2,2,2,0
genista,N,3,G34,pri18,4,4,4,4,4,4,4,0
genista,N,3,G35,pri18,1,2,2,2,2,2,2,0
genista,N,3,G36,pri18,1,1,1,1,1,1,1,0
genista,N,3,G37,pri18,7,7,7,7,7,7,7,0
genista,N,3,G38,ng,0,0,0,0,0,0,0,0
genista,N,3,G39,ng,0,0,0,0,0,0,0,0
open ground,N,1,P11,pri18,2,2,2,2,2,2,2,0
open ground,N,1,P110,ng,0,0,0,0,0,0,0,0
open ground,N,1,P12,ng,0,0,0,0,0,0,0,0
open ground,N,1,P13,pri18,3,3,3,3,3,3,3,0
open ground,N,1,P14,ng,0,0,0,0,0,0,0,0
open ground,N,1,P15,ng,0,0,0,0,0,0,0,0
open ground,N,1,P16,pri18,4,4,4,4,4,4,4,0
open ground,N,1,P17,pri18,2,2,2,2,2,2,2,0
open ground,N,1,P18,pri18,1,1,1,1,1,1,1,0
open ground,N,1,P19,pri18,5,5,5,5,5,5,5,0
open ground,N,2,P21,pri18,2,2,2,2,2,2,2,0
open ground,N,2,P210,out,NA,NA,NA,NA,NA,NA,NA,NA
